,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
101,einfamilienhaus,Angebot,160,5,34277,privat,2014.0,131950.39786190153,488.0,nein,360000.0,1,1,fussbodenheizung,1,1,0,1,1,1,0,1,0,0,0,1,,,0,,,0,0,824.6899866368846
102,einfamilienhaus,Angebot,160,8,66879,gewerblich,1985.0,39165.300642986884,484.0,ja,210000.0,1,1,oelheizung,1,1,1,0,1,1,0,1,0,0,0,0,,,0,,,0,0,244.78312901866803
103,einfamilienhaus,Angebot,160,4.0,55283,privat,,170424.9391774049,,,660.0,1,1,oelheizung,1,1,1,0,1,1,0,1,1,0,0,1,140.0,1320.0,1,950.0,150.0,0,0,1065.1558698587808
104,einfamilienhaus,Angebot,160,8,67817,privat,2000.0,-7505.180356171044,1100.0,nein,255000.0,1,1,gasheizung,1,1,0,0,1,1,0,1,1,0,1,1,,,0,,,0,0,-46.90737722606902
105,mehrfamilienhaus,Angebot,160,6,59755,gewerblich,1807.0,39098.71327006997,315.0,ja,330000.0,1,1,zentralheizung,1,1,0,0,1,0,0,0,1,0,0,0,,,0,,,0,0,244.36695793793734
106,bungalow,Angebot,120,4,56076,privat,1966.0,4769.411010980828,589.0,nein,400000.0,1,1,gasheizung,0,1,1,0,1,1,0,1,0,0,0,0,,,0,,,0,0,39.745091758173565
107,bungalow,Angebot,160,5,67821,gewerblich,,38027.32814080911,700.0,nein,231697.0,0,1,zentralheizung,1,0,0,0,1,1,0,1,0,1,0,0,,,0,,,0,0,237.67080088005696
108,einfamilienhaus,Angebot,160,7,51709,privat,2004.0,142318.93633483356,472.0,nein,350000.0,1,1,gasheizung,1,1,0,0,0,1,0,0,1,1,0,1,,,0,,,0,0,889.4933520927098
109,einfamilienhaus,Angebot,160,7,32361,privat,1966.0,-6737.119264975652,808.0,nein,184000.0,1,1,zentralheizung,1,1,1,1,1,1,0,1,1,0,1,1,,,0,,,0,0,-42.10699540609782
110,bauernhaus,Angebot,160,6,54552,gewerblich,,85883.51608926959,1100.0,ja,74000.0,1,1,ofenheizung,1,1,0,0,0,0,0,1,0,0,0,0,,,0,,,0,0,536.7719755579349
111,einfamilienhaus,Angebot,160,10,67806,gewerblich,1946.0,-15334.591095523949,1410.0,ja,185000.0,1,1,zentralheizung,1,1,0,0,1,1,0,1,0,0,1,0,,,0,,,0,0,-95.84119434702468
